PrincessName,FirstMovieTitle,FirstMovieYear,MovieRuntimeMinutes,NumberOfSongs,HasSoloSong,HasDuet,HairColor,EyeColor,OutfitPrimaryColor,OutfitStyleEra,IsRoyalByBirth,HasAnimalSidekick,SidekickType,HasMagicalPowers,MagicType,MainSetting,IsBasedOnRealStory,CulturalOrigin,SpeaksToAnimals,FightsVillainDirectly,RomanticSubplot,MarriedByEnd,VillainName,VillainType,IMDB_Rating,RottenTomatoesScore,BoxOfficeMillions,AvgScreenTimeMinutes,NumMerchItemsOnAmazon,GoogleSearchIndex2024,InstagramFanPages,TikTokHashtagViewsMillions,Top3Hashtags,IsIconic,PopularityScore
Pocahontas,Pocahontas's Adventure,1977,85,4,No,Yes,Brown,Green,Pink,Victorian,Yes,Yes,Dragon,Yes,None,Forest,Yes,Scottish,No,Yes,No,No,Villain of Pocahontas,Witch,7.7,88,661,25,2524,68,298,481,#TeamPocahontas #LovePocahontas #PocahontasForever,Yes,88
Mulan,Mulan's Adventure,1995,85,1,Yes,Yes,Blonde,Brown,Purple,Ancient,No,Yes,Dragon,No,Ice,Mountains,Yes,Native American,Yes,Yes,Yes,Yes,Villain of Mulan,Stepmother,6.3,91,688,52,4202,49,133,619,#TeamMulan #LoveMulan #MulanForever,Yes,78
Raya,Raya's Adventure,1989,110,4,No,No,Blonde,Hazel,Pink,Victorian,Yes,Yes,Horse,Yes,Healing,Forest,Yes,Polynesian,No,Yes,No,Yes,Villain of Raya,Witch,6.3,76,790,54,525,68,129,230,#TeamRaya #LoveRaya #RayaForever,No,53
Anna,Anna's Adventure,1940,78,1,No,No,Brown,Grey,Green,Ancient,No,Yes,Fish,No,Dragon,Desert,No,Scottish,No,No,No,No,Villain of Anna,Witch,8.8,70,820,42,1951,73,138,697,#TeamAnna #LoveAnna #AnnaForever,Yes,84
Mulan,Mulan's Adventure,1943,103,7,No,Yes,White,Brown,Green,Modern,Yes,No,Fish,No,Ice,Village,Yes,Arabian,No,No,Yes,No,Villain of Mulan,Sorcerer,7.9,86,996,55,3958,34,155,200,#TeamMulan #LoveMulan #MulanForever,Yes,71
Jasmine,Jasmine's Adventure,2010,78,7,Yes,Yes,Brown,Blue,Blue,Modern,Yes,No,Fish,Yes,None,Village,Yes,Arabian,Yes,Yes,Yes,No,Villain of Jasmine,Witch,7.5,93,1245,59,555,67,216,454,#TeamJasmine #LoveJasmine #JasmineForever,Yes,61
Snow White,Snow White's Adventure,1986,97,2,No,Yes,Blonde,Blue,Pink,Ancient,No,No,Horse,Yes,Ocean,Forest,Yes,Chinese,Yes,Yes,No,Yes,Villain of Snow White,Sorcerer,7.8,90,639,60,2265,79,118,971,#TeamSnow White #LoveSnow White #Snow WhiteForever,No,94
Rapunzel,Rapunzel's Adventure,1987,79,3,No,No,Black,Hazel,Pink,Medieval,No,Yes,Horse,No,Ocean,Mountains,No,African-American,No,Yes,Yes,Yes,Villain of Rapunzel,Witch,7.9,88,1130,58,705,73,194,988,#TeamRapunzel #LoveRapunzel #RapunzelForever,No,61
Anna,Anna's Adventure,2007,94,6,Yes,No,White,Brown,Pink,Victorian,Yes,No,Fish,No,Ocean,Desert,No,Nordic,No,No,No,Yes,Villain of Anna,Stepmother,7.3,99,1250,33,2132,34,171,506,#TeamAnna #LoveAnna #AnnaForever,Yes,82
Anna,Anna's Adventure,2010,108,1,Yes,Yes,Black,Brown,Pink,Medieval,No,Yes,Horse,Yes,Ocean,Village,Yes,Native American,Yes,Yes,Yes,Yes,Villain of Anna,Warlord,7.5,67,931,48,3995,48,113,472,#TeamAnna #LoveAnna #AnnaForever,No,96
Belle,Belle's Adventure,1983,96,3,No,Yes,Red,Brown,Blue,Victorian,No,No,Dragon,No,Ice,Mountains,Yes,Scottish,Yes,No,No,Yes,Villain of Belle,Warlord,7.3,70,1285,41,4267,91,105,474,#TeamBelle #LoveBelle #BelleForever,No,95
Anna,Anna's Adventure,1953,105,5,No,Yes,Brown,Grey,Pink,Medieval,Yes,No,Fish,No,None,Desert,Yes,Native American,Yes,Yes,Yes,Yes,Villain of Anna,Sorcerer,7.0,92,986,44,2886,54,191,80,#TeamAnna #LoveAnna #AnnaForever,No,62
Mulan,Mulan's Adventure,1979,95,6,No,Yes,Red,Hazel,Blue,Ancient,No,Yes,Dragon,No,Ocean,Mountains,No,Nordic,No,Yes,No,No,Villain of Mulan,Hunter,7.3,74,972,41,1101,98,193,861,#TeamMulan #LoveMulan #MulanForever,Yes,60
Raya,Raya's Adventure,1963,105,7,No,Yes,Blonde,Green,Pink,Medieval,Yes,No,Horse,No,Ice,Castle,Yes,African-American,No,No,Yes,No,Villain of Raya,Stepmother,7.8,83,1007,24,2350,87,143,315,#TeamRaya #LoveRaya #RayaForever,Yes,94
Cinderella,Cinderella's Adventure,1960,85,6,No,No,Red,Grey,Green,Victorian,No,Yes,Dragon,No,Ocean,Desert,No,French,No,Yes,Yes,Yes,Villain of Cinderella,None,7.6,85,1006,60,4525,93,295,223,#TeamCinderella #LoveCinderella #CinderellaForever,Yes,70
Ariel,Ariel's Adventure,1956,91,7,No,Yes,Blonde,Hazel,Purple,Victorian,Yes,No,Dragon,Yes,None,Forest,Yes,Native American,Yes,Yes,Yes,No,Villain of Ariel,Warlord,8.8,90,693,37,4877,93,238,155,#TeamAriel #LoveAriel #ArielForever,No,86
Elsa,Elsa's Adventure,1950,91,6,No,Yes,Red,Hazel,Green,Victorian,No,No,Fish,Yes,Ocean,Mountains,No,Arabian,Yes,No,Yes,Yes,Villain of Elsa,Sorcerer,8.7,62,504,20,1441,94,38,194,#TeamElsa #LoveElsa #ElsaForever,No,89
Pocahontas,Pocahontas's Adventure,1976,104,2,No,Yes,White,Hazel,Green,Medieval,Yes,No,Horse,No,Healing,Mountains,No,Polynesian,Yes,No,No,No,Villain of Pocahontas,Sorcerer,6.8,92,1268,33,1502,59,129,575,#TeamPocahontas #LovePocahontas #PocahontasForever,Yes,97
Mulan,Mulan's Adventure,1991,74,2,No,Yes,Blonde,Brown,Yellow,Modern,No,No,Dragon,Yes,Ocean,Castle,No,Arabian,Yes,No,No,Yes,Villain of Mulan,Stepmother,8.3,66,334,25,184,28,165,238,#TeamMulan #LoveMulan #MulanForever,Yes,51
Raya,Raya's Adventure,2011,78,3,Yes,No,White,Grey,Green,Modern,Yes,Yes,Horse,Yes,Healing,Ocean,No,French,No,Yes,Yes,No,Villain of Raya,Warlord,6.7,97,270,60,91,71,34,21,#TeamRaya #LoveRaya #RayaForever,No,57
Aurora,Aurora's Adventure,1977,72,7,No,Yes,Blonde,Blue,Yellow,Victorian,Yes,Yes,Horse,No,Healing,Desert,Yes,Nordic,Yes,No,Yes,Yes,Villain of Aurora,Stepmother,6.8,82,1068,22,3215,48,85,513,#TeamAurora #LoveAurora #AuroraForever,No,54
Moana,Moana's Adventure,2021,101,1,Yes,No,Red,Green,Yellow,Medieval,Yes,No,Fish,No,Healing,Castle,No,Scottish,No,No,No,Yes,Villain of Moana,None,7.1,61,1005,27,4191,80,250,124,#TeamMoana #LoveMoana #MoanaForever,No,55
Raya,Raya's Adventure,1984,97,7,No,No,Brown,Hazel,Purple,Medieval,No,No,Fish,No,Ocean,Ocean,No,Nordic,No,No,No,No,Villain of Raya,Witch,7.3,71,1118,57,4667,24,226,262,#TeamRaya #LoveRaya #RayaForever,No,91
Cinderella,Cinderella's Adventure,2011,99,3,Yes,No,Blonde,Hazel,Yellow,Victorian,No,No,Fish,No,None,Village,No,Arabian,No,No,Yes,Yes,Villain of Cinderella,Sorcerer,8.1,88,870,55,4968,96,153,102,#TeamCinderella #LoveCinderella #CinderellaForever,No,75
Tiana,Tiana's Adventure,2019,108,4,Yes,Yes,Black,Brown,Pink,Ancient,No,Yes,Fish,Yes,Healing,Mountains,No,Chinese,No,No,Yes,No,Villain of Tiana,Sorcerer,6.8,87,542,44,4788,59,84,554,#TeamTiana #LoveTiana #TianaForever,Yes,62
Merida,Merida's Adventure,1948,79,6,No,Yes,Brown,Brown,Green,Modern,Yes,Yes,None,Yes,Ocean,Ocean,Yes,Chinese,No,Yes,Yes,Yes,Villain of Merida,None,8.8,88,978,25,2822,68,159,172,#TeamMerida #LoveMerida #MeridaForever,No,77
Cinderella,Cinderella's Adventure,1961,100,3,Yes,No,Brown,Brown,Pink,Modern,No,Yes,Dragon,No,Healing,Forest,No,Chinese,No,Yes,Yes,No,Villain of Cinderella,Witch,6.8,76,253,27,4837,53,199,829,#TeamCinderella #LoveCinderella #CinderellaForever,Yes,62
Snow White,Snow White's Adventure,1951,83,6,Yes,No,Red,Brown,Purple,Modern,Yes,Yes,Horse,Yes,Healing,Ocean,No,Polynesian,No,Yes,No,Yes,Villain of Snow White,Witch,8.8,80,997,44,4961,67,268,888,#TeamSnow White #LoveSnow White #Snow WhiteForever,No,88
Aurora,Aurora's Adventure,1978,76,1,No,Yes,Blonde,Grey,Yellow,Ancient,Yes,No,None,No,Dragon,Castle,No,Chinese,No,Yes,No,No,Villain of Aurora,Warlord,7.7,79,534,43,1594,39,13,664,#TeamAurora #LoveAurora #AuroraForever,Yes,67
Mulan,Mulan's Adventure,1983,70,5,No,No,Black,Hazel,Green,Victorian,Yes,No,None,No,None,Forest,Yes,Arabian,No,Yes,No,Yes,Villain of Mulan,Witch,7.0,95,350,31,3599,92,151,734,#TeamMulan #LoveMulan #MulanForever,No,91
Jasmine,Jasmine's Adventure,1996,82,4,Yes,No,Blonde,Blue,Purple,Ancient,No,No,Horse,No,Ice,Ocean,No,Chinese,No,No,Yes,No,Villain of Jasmine,Witch,8.3,85,1077,55,4278,93,227,395,#TeamJasmine #LoveJasmine #JasmineForever,Yes,70
Mulan,Mulan's Adventure,1966,84,6,Yes,Yes,Blonde,Hazel,Blue,Ancient,No,Yes,Horse,Yes,Healing,Forest,Yes,Chinese,No,No,Yes,Yes,Villain of Mulan,Warlord,8.5,95,383,23,794,41,91,224,#TeamMulan #LoveMulan #MulanForever,Yes,65
Moana,Moana's Adventure,1979,92,1,Yes,Yes,Blonde,Hazel,Purple,Ancient,No,Yes,Fish,No,Healing,Village,No,African-American,No,No,Yes,Yes,Villain of Moana,Warlord,8.5,72,358,36,1065,41,111,288,#TeamMoana #LoveMoana #MoanaForever,Yes,77
Raya,Raya's Adventure,1997,104,5,Yes,No,Blonde,Blue,Blue,Medieval,No,Yes,Horse,No,Healing,Village,No,Polynesian,Yes,Yes,Yes,Yes,Villain of Raya,Hunter,7.7,83,300,32,110,80,23,810,#TeamRaya #LoveRaya #RayaForever,No,71
Merida,Merida's Adventure,1963,110,7,No,No,Blonde,Hazel,Yellow,Medieval,No,No,Dragon,Yes,Ice,Ocean,Yes,Scottish,No,Yes,No,No,Villain of Merida,Warlord,8.8,77,720,44,1151,69,211,578,#TeamMerida #LoveMerida #MeridaForever,No,78
Raya,Raya's Adventure,2007,87,1,No,No,Black,Brown,Pink,Modern,No,Yes,Dragon,Yes,Healing,Castle,Yes,Chinese,Yes,No,Yes,Yes,Villain of Raya,Stepmother,7.3,78,459,43,2239,94,32,219,#TeamRaya #LoveRaya #RayaForever,Yes,88
Merida,Merida's Adventure,1962,109,1,No,No,Brown,Green,Green,Ancient,Yes,Yes,Fish,No,Ocean,Desert,No,French,No,Yes,Yes,Yes,Villain of Merida,Sorcerer,6.4,67,101,41,3855,72,277,974,#TeamMerida #LoveMerida #MeridaForever,No,81
Elsa,Elsa's Adventure,1970,99,5,Yes,Yes,Red,Hazel,Yellow,Ancient,Yes,No,None,Yes,Ocean,Desert,Yes,Nordic,No,No,Yes,Yes,Villain of Elsa,Witch,6.4,88,979,38,3721,77,257,101,#TeamElsa #LoveElsa #ElsaForever,No,77
